command,iteration,user_time,system_time,cpu_percent,elapsed_time,max_resident_set_size,minor_page_faults,involuntary_context_switches,exit_status
../programs-original/n_body_sim,7,8.51,0.03,1181.0,0.72,2452,117,134,0
../programs-original/n_body_sim,10,8.74,0.01,1184.0,0.74,2392,118,120,0
../programs-original/n_body_sim,3,8.98,0.02,1176.0,0.76,6468,116,164,0
../programs-original/n_body_sim,11,9.14,0.04,1182.0,0.77,2468,118,141,0
../programs-original/n_body_sim,9,9.34,0.01,1189.0,0.78,2428,115,146,0
../programs-original/n_body_sim,6,9.45,0.03,1186.0,0.8,2368,116,159,0
../programs-original/n_body_sim,5,9.81,0.05,1187.0,0.83,2312,115,109,0
../programs-original/n_body_sim,8,10.01,0.0,1178.0,0.85,2308,116,158,0
../programs-original/n_body_sim,12,10.98,0.02,1186.0,0.92,2384,117,121,0
../programs-original/n_body_sim,1,11.68,0.03,1179.0,0.99,2464,117,228,0
